Dial,ISO3166-1-Alpha-3,ISO3166-1-Alpha-2,Capital,Continent,Languages
62,IDN,ID,Jakarta,AS,"id,en,nl,jv"
98,IRN,IR,Tehran,AS,"fa-IR,ku"
964,IRQ,IQ,Baghdad,AS,"ar-IQ,ku,hy"
353,IRL,IE,Dublin,EU,"en-IE,ga-IE"
44,IMN,IM,Douglas,EU,"en,gv"
972,ISR,IL,Jerusalem,AS,"he,ar-IL,en-IL,"
39,ITA,IT,Rome,EU,"it-IT,de-IT,fr-IT,sc,ca,co,sl"
1-876,JAM,JM,Kingston,NA,en-JM
81,JPN,JP,Tokyo,AS,ja
44,JEY,JE,Saint Helier,EU,"en,fr,nrf"
962,JOR,JO,Amman,AS,"ar-JO,en"
7,KAZ,KZ,Astana,AS,"kk,ru"
254,KEN,KE,Nairobi,AF,"en-KE,sw-KE"
686,KIR,KI,Tarawa,OC,"en-KI,gil"
965,KWT,KW,Kuwait City,AS,"ar-KW,en"
996,KGZ,KG,Bishkek,AS,"ky,uz,ru"
856,LAO,LA,Vientiane,AS,"lo,fr,en"
371,LVA,LV,Riga,EU,"lv,ru,lt"
961,LBN,LB,Beirut,AS,"ar-LB,fr-LB,en,hy"
266,LSO,LS,Maseru,AF,"en-LS,st,zu,xh"
231,LBR,LR,Monrovia,AF,en-LR
218,LBY,LY,Tripoli,AF,"ar-LY,it,en"
423,LIE,LI,Vaduz,EU,de-LI
370,LTU,LT,Vilnius,EU,"lt,ru,pl"
352,LUX,LU,Luxembourg,EU,"lb,de-LU,fr-LU"
261,MDG,MG,Antananarivo,AF,"fr-MG,mg"
265,MWI,MW,Lilongwe,AF,"ny,yao,tum,swk"
60,MYS,MY,Kuala Lumpur,AS,"ms-MY,en,zh,ta,te,ml,pa,th"
960,MDV,MV,Male,AS,"dv,en"
223,MLI,ML,Bamako,AF,"fr-ML,bm"
356,MLT,MT,Valletta,EU,"mt,en-MT"
692,MHL,MH,Majuro,OC,"mh,en-MH"
596,MTQ,MQ,Fort-de-France,NA,fr-MQ
222,MRT,MR,Nouakchott,AF,"ar-MR,fuc,snk,fr,mey,wo"
230,MUS,MU,Port Louis,AF,"en-MU,bho,fr"
262,MYT,YT,Mamoudzou,AF,fr-YT
52,MEX,MX,Mexico City,NA,es-MX
691,FSM,FM,Palikir,OC,"en-FM,chk,pon,yap,kos,uli,woe,nkr,kpg"
377,MCO,MC,Monaco,EU,"fr-MC,en,it"
976,MNG,MN,Ulan Bator,AS,"mn,ru"
382,MNE,ME,Podgorica,EU,"sr,hu,bs,sq,hr,rom"
1-664,MSR,MS,Plymouth,NA,en-MS
212,MAR,MA,Rabat,AF,"ar-MA,ber,fr"
258,MOZ,MZ,Maputo,AF,"pt-MZ,vmw"
95,MMR,MM,Nay Pyi Taw,AS,my
264,NAM,NA,Windhoek,AF,"en-NA,af,de,hz,naq"
674,NRU,NR,Yaren,OC,"na,en-NR"
977,NPL,NP,Kathmandu,AS,"ne,en"
31,NLD,NL,Amsterdam,EU,"nl-NL,fy-NL"
687,NCL,NC,Noumea,OC,fr-NC
64,NZL,NZ,Wellington,OC,"en-NZ,mi"
505,NIC,NI,Managua,NA,"es-NI,en"
227,NER,NE,Niamey,AF,"fr-NE,ha,kr,dje"
234,NGA,NG,Abuja,AF,"en-NG,ha,yo,ig,ff"
683,NIU,NU,Alofi,OC,"niu,en-NU"
672,NFK,NF,Kingston,OC,en-NF
1-670,MNP,MP,Saipan,OC,"fil,tl,zh,ch-MP,en-MP"
47,NOR,NO,Oslo,EU,"no,nb,nn,se,fi"
968,OMN,OM,Muscat,AS,"ar-OM,en,bal,ur"
92,PAK,PK,Islamabad,AS,"ur-PK,en-PK,pa,sd,ps,brh"
680,PLW,PW,Melekeok,OC,"pau,sov,en-PW,tox,ja,fil,zh"
507,PAN,PA,Panama City,NA,"es-PA,en"
675,PNG,PG,Port Moresby,OC,"en-PG,ho,meu,tpi"
595,PRY,PY,Asuncion,SA,"es-PY,gn"
51,PER,PE,Lima,SA,"es-PE,qu,ay"
63,PHL,PH,Manila,AS,"tl,en-PH,fil,ceb,tgl,ilo,hil,war,pam,bik,bcl,pag,mrw,tsg,mdh,cbk,krj,sgd,msb,akl,ibg,yka,mta,abx"
870,PCN,PN,Adamstown,OC,en-PN
48,POL,PL,Warsaw,EU,pl
351,PRT,PT,Lisbon,EU,"pt-PT,mwl"
1,PRI,PR,San Juan,NA,"en-PR,es-PR"
974,QAT,QA,Doha,AS,"ar-QA,es"
82,KOR,KR,Seoul,AS,"ko-KR,en"
373,MDA,MD,Chisinau,EU,"ro,ru,gag,tr"
40,ROU,RO,Bucharest,EU,"ro,hu,rom"
7,RUS,RU,Moscow,EU,"ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,tut,kbd,krc,av,sah,nog"
250,RWA,RW,Kigali,AF,"rw,en-RW,fr-RW,sw"
262,REU,RE,Saint-Denis,AF,fr-RE
590,BLM,BL,Gustavia,NA,fr
290,SHN,SH,Jamestown,AF,en-SH
1-869,KNA,KN,Basseterre,NA,en-KN
1-758,LCA,LC,Castries,NA,en-LC
590,MAF,MF,Marigot,NA,fr
508,SPM,PM,Saint-Pierre,NA,fr-PM
1-784,VCT,VC,Kingstown,NA,"en-VC,fr"
